Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Year-additional
2008,20,LAD,NL,5,5,.500,4.26,22,21,0,0,0,0,107.2,109,51,51,11,52,3,100,1,0,7,470,98,4.08,1.495,9.1,0.9,4.3,8.4,1.92,,-9999
2009,21,LAD,NL,8,8,.500,2.79,31,30,1,0,0,0,171.0,119,55,53,7,91,4,185,1,2,11,701,143,3.08,1.228,6.3,0.4,4.8,9.7,2.03,,-9999
2010,22,LAD,NL,13,10,.565,2.91,32,32,0,1,1,0,204.1,160,73,66,13,81,9,212,7,2,5,848,133,3.12,1.179,7.0,0.6,3.6,9.3,2.62,,-9999
2011,23,LAD,NL,21,5,.808,2.28,33,33,0,5,2,0,233.1,174,66,59,15,54,2,248,3,1,5,912,161,2.47,0.977,6.7,0.6,2.1,9.6,4.59,ASCYA-1MVP-12GG,-9999
2012,24,LAD,NL,14,9,.609,2.53,33,33,0,2,2,0,227.2,170,70,64,16,63,5,229,5,2,6,901,150,2.89,1.023,6.7,0.6,2.5,9.1,3.63,ASCYA-2MVP-16,-9999
2013,25,LAD,NL,16,9,.640,1.83,33,33,0,3,2,0,236.0,164,55,48,11,52,2,232,3,2,12,908,194,2.39,0.915,6.3,0.4,2.0,8.8,4.46,ASCYA-1MVP-7,-9999
2014,26,LAD,NL,21,3,.875,1.77,27,27,0,6,2,0,198.1,139,42,39,9,31,0,239,2,2,7,749,197,1.81,0.857,6.3,0.4,1.4,10.8,7.71,ASCYA-1MVP-1,-9999
2015,27,LAD,NL,16,7,.696,2.13,33,33,0,4,3,0,232.2,163,62,55,15,42,1,301,5,3,9,890,173,1.99,0.881,6.3,0.6,1.6,11.6,7.17,ASCYA-3MVP-10,-9999
2016,28,LAD,NL,12,4,.750,1.69,21,21,0,3,3,0,149.0,97,31,28,8,11,1,172,2,3,5,544,237,1.80,0.725,5.9,0.5,0.7,10.4,15.64,ASCYA-5,-9999
2017,29,LAD,NL,18,4,.818,2.31,27,27,0,1,0,0,175.0,136,49,45,23,30,0,202,0,2,4,679,179,3.07,0.949,7.0,1.2,1.5,10.4,6.73,ASCYA-2MVP-17,-9999
2018,30,LAD,NL,9,5,.643,2.73,26,26,0,0,0,0,161.1,139,55,49,17,29,0,155,2,0,10,650,142,3.18,1.041,7.8,0.9,1.6,8.6,5.34,,-9999
2019,31,LAD,NL,16,5,.762,3.03,29,28,0,0,0,0,178.1,145,63,60,28,41,0,189,2,1,7,706,137,3.86,1.043,7.3,1.4,2.1,9.5,4.61,ASCYA-8,-9999
2020,32,LAD,NL,6,2,.750,2.16,10,10,0,0,0,0,58.1,41,18,14,8,8,0,62,1,0,0,221,202,3.31,0.840,6.3,1.2,1.2,9.6,7.75,CYA-9,-9999
2021,33,LAD,NL,10,8,.556,3.55,22,22,0,0,0,0,121.2,103,51,48,15,21,0,144,3,1,7,488,119,3.00,1.019,7.6,1.1,1.6,10.7,6.86,,-9999
2022,34,LAD,NL,12,3,.800,2.28,22,22,0,0,0,0,126.1,96,36,32,10,23,0,137,2,1,0,493,177,2.57,0.942,6.8,0.7,1.6,9.8,5.96,AS,-9999
2023,35,LAD,NL,13,5,.722,2.46,24,24,0,0,0,0,131.2,100,39,36,19,40,0,137,3,2,6,523,177,4.03,1.063,6.8,1.3,2.7,9.4,3.43,AS,-9999
16 Yrs,16 Yrs,16 Yrs,16 Yrs,210,92,.695,2.48,425,422,1,25,15,0,2712.2,2055,816,747,225,669,27,2944,42,24,101,10683,157,2.82,1.004,6.8,0.7,2.2,9.8,4.40,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,17,7,.695,2.48,34,34,0,2,1,0,218,165,66,60,18,54,2,236,3,2,8,858,157,2.82,1.004,6.8,0.7,2.2,9.8,4.40,,pitch_glossary.shtml#162_avg
